country,DISEASE,DISEASE_DESCRIPTION,WHO_zone,YEAR,Total_Cases,ANTIGEN_DESCRIPTION,ANTIGEN,Target,Doses
"South Sudan",TTETANUS,"Total tetanus",AFR,2015,4,"DTP-containing vaccine, 3rd dose",DTPCV3,426665,266420
"South Sudan",PERTUSSIS,Pertussis,AFR,2015,3,"DTP-containing vaccine, 3rd dose",DTPCV3,426665,266420
"South Sudan",DIPHTHERIA,Diphtheria,AFR,2015,9,"DTP-containing vaccine, 3rd dose",DTPCV3,426665,266420
"South Sudan",TTETANUS,"Total tetanus",AFR,2015,4,"DTP-containing vaccine, 1st dose",DTPCV1,426665,320709
"South Sudan",PERTUSSIS,Pertussis,AFR,2015,3,"DTP-containing vaccine, 1st dose",DTPCV1,426665,320709
"South Sudan",DIPHTHERIA,Diphtheria,AFR,2015,9,"DTP-containing vaccine, 1st dose",DTPCV1,426665,320709
"South Sudan",MEASLES,Measles,AFR,2016,898,"Measles-containing vaccine, 1st dose",MCV1,439465,227997
"Sierra Leone",TTETANUS,"Total tetanus",AFR,2016,6,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,320832,291656
Rwanda,TTETANUS,"Total tetanus",AFR,2016,2,"DTP-containing vaccine, 1st dose",DTPCV1,343733,362928
Rwanda,TTETANUS,"Total tetanus",AFR,2016,2,"DTP-containing vaccine, 3rd dose",DTPCV3,343733,352959
Rwanda,MEASLES,Measles,AFR,2016,95,"Measles-containing vaccine, 1st dose",MCV1,343733,341926
Senegal,MEASLES,Measles,AFR,2016,162,"Measles-containing vaccine, 2nd dose",MCV2,501697,374024
Senegal,MEASLES,Measles,AFR,2016,162,"Measles-containing vaccine, 1st dose",MCV1,513509,478002
Rwanda,TTETANUS,"Total tetanus",AFR,2016,2,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,354734,346635
Rwanda,RUBELLA,Rubella,AFR,2016,15,"Rubella-containing vaccine, 1st dose",RCV1,343733,341926
Rwanda,MEASLES,Measles,AFR,2016,95,"Measles-containing vaccine, 2nd dose",MCV2,332196,299926
Senegal,RUBELLA,Rubella,AFR,2016,135,"Rubella-containing vaccine, 1st dose",RCV1,513509,478002
"Sierra Leone",TTETANUS,"Total tetanus",AFR,2016,6,"DTP-containing vaccine, 1st dose",DTPCV1,264832,275300
"Sierra Leone",TTETANUS,"Total tetanus",AFR,2016,6,"DTP-containing vaccine, 3rd dose",DTPCV3,264832,260095
"Sierra Leone",MEASLES,Measles,AFR,2016,920,"Measles-containing vaccine, 1st dose",MCV1,264832,257640
"Sierra Leone",MEASLES,Measles,AFR,2016,920,"Measles-containing vaccine, 2nd dose",MCV2,264832,86699
"Sierra Leone",NTETANUS,"Neonatal tetanus",AFR,2016,6,"Protection at birth (PAB) against neonatal tetanus",PAB,291665,291656
"Sao Tome and Principe",TTETANUS,"Total tetanus",AFR,2016,1,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,6586,5695
"Sao Tome and Principe",TTETANUS,"Total tetanus",AFR,2016,1,"DTP-containing vaccine, 3rd dose",DTPCV3,5618,5368
"Sao Tome and Principe",TTETANUS,"Total tetanus",AFR,2016,1,"DTP-containing vaccine, 1st dose",DTPCV1,5618,5457
Algeria,PERTUSSIS,Pertussis,AFR,2016,2,"DTP-containing vaccine, 3rd dose",DTPCV3,1022171,933884
Algeria,MEASLES,Measles,AFR,2016,41,"Measles-containing vaccine, 1st dose",MCV1,1022171,965439
Algeria,MEASLES,Measles,AFR,2016,41,"Measles-containing vaccine, 2nd dose",MCV2,1142382,1098885
Algeria,PERTUSSIS,Pertussis,AFR,2016,2,"DTP-containing vaccine, 1st dose",DTPCV1,1022171,981780
Guinea,MEASLES,Measles,AFR,2016,316,"Measles-containing vaccine, 1st dose",MCV1,399664,395263
Ethiopia,NTETANUS,"Neonatal tetanus",AFR,2016,18,"Protection at birth (PAB) against neonatal tetanus",PAB,3136984,2918589
Ethiopia,MEASLES,Measles,AFR,2016,4579,"Measles-containing vaccine, 1st dose",MCV1,2951902,2751636
Ethiopia,TTETANUS,"Total tetanus",AFR,2016,18,"DTP-containing vaccine, 3rd dose",DTPCV3,2951902,2844144
Ethiopia,TTETANUS,"Total tetanus",AFR,2016,18,"DTP-containing vaccine, 1st dose",DTPCV1,2951902,3014557
Guinea,YFEVER,"Yellow fever",AFR,2016,4,"Yellow fever vaccine",YFV,399664,382248
Eritrea,DIPHTHERIA,Diphtheria,AFR,2016,4,"DTP-containing vaccine, 1st dose",DTPCV1,103467,86128
Eritrea,PERTUSSIS,Pertussis,AFR,2016,81,"DTP-containing vaccine, 1st dose",DTPCV1,103467,86128
Eritrea,TTETANUS,"Total tetanus",AFR,2016,1,"DTP-containing vaccine, 1st dose",DTPCV1,103467,86128
Eritrea,DIPHTHERIA,Diphtheria,AFR,2016,4,"DTP-containing vaccine, 3rd dose",DTPCV3,103467,83943
Eritrea,PERTUSSIS,Pertussis,AFR,2016,81,"DTP-containing vaccine, 3rd dose",DTPCV3,103467,83943
Eritrea,TTETANUS,"Total tetanus",AFR,2016,1,"DTP-containing vaccine, 3rd dose",DTPCV3,103467,83943
Eritrea,MEASLES,Measles,AFR,2016,142,"Measles-containing vaccine, 1st dose",MCV1,103467,83010
Eritrea,MEASLES,Measles,AFR,2016,142,"Measles-containing vaccine, 2nd dose",MCV2,100783,62258
Ghana,YFEVER,"Yellow fever",AFR,2016,1,"Yellow fever vaccine",YFV,1075607,918745
Ghana,TTETANUS,"Total tetanus",AFR,2016,1214,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,1132218,732734
Ghana,RUBELLA,Rubella,AFR,2016,11,"Rubella-containing vaccine, 1st dose",RCV1,1075607,1023596
Ghana,MEASLES,Measles,AFR,2016,32,"Measles-containing vaccine, 2nd dose",MCV2,1075607,795695
Ghana,MEASLES,Measles,AFR,2016,32,"Measles-containing vaccine, 1st dose",MCV1,1075607,1023596
Ghana,PERTUSSIS,Pertussis,AFR,2016,123,"DTP-containing vaccine, 3rd dose",DTPCV3,1075607,1060040
Ghana,TTETANUS,"Total tetanus",AFR,2016,1214,"DTP-containing vaccine, 3rd dose",DTPCV3,1075607,1060040
Ghana,PERTUSSIS,Pertussis,AFR,2016,123,"DTP-containing vaccine, 1st dose",DTPCV1,1075607,1085820
Ghana,TTETANUS,"Total tetanus",AFR,2016,1214,"DTP-containing vaccine, 1st dose",DTPCV1,1075607,1085820
Eritrea,POLIO,Poliomyelitis,AFR,2016,1,"Polio, 3rd dose",POL3,103467,83943
Eritrea,TTETANUS,"Total tetanus",AFR,2016,1,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,147809,20763
Gambia,MEASLES,Measles,AFR,2016,45,"Measles-containing vaccine, 1st dose",MCV1,80193,77563
Guinea,TTETANUS,"Total tetanus",AFR,2016,113,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,499581,501774
Gabon,MEASLES,Measles,AFR,2016,1509,"Measles-containing vaccine, 1st dose",MCV1,64704,41780
Gambia,MEASLES,Measles,AFR,2016,45,"Measles-containing vaccine, 2nd dose",MCV2,80193,63579
Guinea,TTETANUS,"Total tetanus",AFR,2016,113,"DTP-containing vaccine, 3rd dose",DTPCV3,399664,389155
Guinea,TTETANUS,"Total tetanus",AFR,2016,113,"DTP-containing vaccine, 1st dose",DTPCV1,399664,420540
Zimbabwe,RUBELLA,Rubella,AFR,2016,2,"Rubella-containing vaccine, 1st dose",RCV1,446013,408732
Zimbabwe,CRS,"Congenital rubella syndrome",AFR,2016,3,"Rubella-containing vaccine, 1st dose",RCV1,446013,408732
Zimbabwe,MEASLES,Measles,AFR,2016,1,"Measles-containing vaccine, 2nd dose",MCV2,441597,277925
Zimbabwe,MEASLES,Measles,AFR,2016,1,"Measles-containing vaccine, 1st dose",MCV1,446013,408732
Zimbabwe,PERTUSSIS,Pertussis,AFR,2016,3,"DTP-containing vaccine, 3rd dose",DTPCV3,446013,398285
Zimbabwe,PERTUSSIS,Pertussis,AFR,2016,3,"DTP-containing vaccine, 1st dose",DTPCV1,446013,417303
"South Africa",PERTUSSIS,Pertussis,AFR,2016,40,"DTP-containing vaccine, 1st dose",DTPCV1,985944,87499
Zambia,MEASLES,Measles,AFR,2016,8,"Measles-containing vaccine, 2nd dose",MCV2,632238,364424
Zambia,MEASLES,Measles,AFR,2016,8,"Measles-containing vaccine, 1st dose",MCV1,642028,621742
Zambia,DIPHTHERIA,Diphtheria,AFR,2016,1,"DTP-containing vaccine, 3rd dose",DTPCV3,642028,610050
Zambia,DIPHTHERIA,Diphtheria,AFR,2016,1,"DTP-containing vaccine, 1st dose",DTPCV1,642028,662016
"South Africa",PERTUSSIS,Pertussis,AFR,2016,40,"DTP-containing vaccine, 3rd dose",DTPCV3,985944,832479
"South Africa",MEASLES,Measles,AFR,2016,18,"Measles-containing vaccine, 1st dose",MCV1,985944,999834
"South Africa",MEASLES,Measles,AFR,2016,18,"Measles-containing vaccine, 2nd dose",MCV2,1013779,962754
Liberia,TTETANUS,"Total tetanus",AFR,2016,6,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,188851,135882
Liberia,NTETANUS,"Neonatal tetanus",AFR,2016,6,"Protection at birth (PAB) against neonatal tetanus",PAB,188851,135882
Liberia,MEASLES,Measles,AFR,2016,789,"Measles-containing vaccine, 1st dose",MCV1,164218,131877
Liberia,TTETANUS,"Total tetanus",AFR,2016,6,"DTP-containing vaccine, 3rd dose",DTPCV3,164218,150693
Liberia,TTETANUS,"Total tetanus",AFR,2016,6,"DTP-containing vaccine, 1st dose",DTPCV1,164218,168070
Mali,TTETANUS,"Total tetanus",AFR,2016,8,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,917150,618183
Mali,MEASLES,Measles,AFR,2016,107,"Measles-containing vaccine, 1st dose",MCV1,735249,666120
Mali,TTETANUS,"Total tetanus",AFR,2016,8,"DTP-containing vaccine, 3rd dose",DTPCV3,735249,691199
Mali,TTETANUS,"Total tetanus",AFR,2016,8,"DTP-containing vaccine, 1st dose",DTPCV1,735249,782219
Madagascar,TTETANUS,"Total tetanus",AFR,2016,136,"DTP-containing vaccine, 1st dose",DTPCV1,814902,814548
Madagascar,PERTUSSIS,Pertussis,AFR,2016,321,"DTP-containing vaccine, 1st dose",DTPCV1,814902,814548
Madagascar,DIPHTHERIA,Diphtheria,AFR,2016,2865,"DTP-containing vaccine, 1st dose",DTPCV1,814902,814548
Madagascar,TTETANUS,"Total tetanus",AFR,2016,136,"DTP-containing vaccine, 3rd dose",DTPCV3,814902,757993
Madagascar,PERTUSSIS,Pertussis,AFR,2016,321,"DTP-containing vaccine, 3rd dose",DTPCV3,814902,757993
Madagascar,DIPHTHERIA,Diphtheria,AFR,2016,2865,"DTP-containing vaccine, 3rd dose",DTPCV3,814902,757993
Madagascar,MEASLES,Measles,AFR,2016,5,"Measles-containing vaccine, 1st dose",MCV1,814902,794082
Madagascar,NTETANUS,"Neonatal tetanus",AFR,2016,27,"Protection at birth (PAB) against neonatal tetanus",PAB,863845,577843
Madagascar,TTETANUS,"Total tetanus",AFR,2016,136,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,1101219,577843
Angola,YFEVER,"Yellow fever",AFR,2016,881,"Yellow fever vaccine",YFV,954088,503828
Angola,MEASLES,Measles,AFR,2016,53,"Measles-containing vaccine, 2nd dose",MCV2,954088,252307
Angola,MEASLES,Measles,AFR,2016,53,"Measles-containing vaccine, 1st dose",MCV1,954088,708644
Benin,TTETANUS,"Total tetanus",AFR,2016,122,"DTP-containing vaccine, 1st dose",DTPCV1,378097,424671
Benin,TTETANUS,"Total tetanus",AFR,2016,122,"DTP-containing vaccine, 3rd dose",DTPCV3,378097,396726
Benin,MEASLES,Measles,AFR,2016,89,"Measles-containing vaccine, 1st dose",MCV1,378097,385215
Benin,TTETANUS,"Total tetanus",AFR,2016,122,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,543863,375002
Burundi,MEASLES,Measles,AFR,2016,16,"Measles-containing vaccine, 1st dose",MCV1,360548,361090
Burundi,MEASLES,Measles,AFR,2016,16,"Measles-containing vaccine, 2nd dose",MCV2,350804,249584
Togo,TTETANUS,"Total tetanus",AFR,2016,11,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,319141,265666
Togo,NTETANUS,"Neonatal tetanus",AFR,2016,11,"Protection at birth (PAB) against neonatal tetanus",PAB,319141,200773
Togo,MEASLES,Measles,AFR,2016,15,"Measles-containing vaccine, 1st dose",MCV1,294319,254891
Togo,TTETANUS,"Total tetanus",AFR,2016,11,"DTP-containing vaccine, 3rd dose",DTPCV3,294319,262440
Togo,PERTUSSIS,Pertussis,AFR,2016,11,"DTP-containing vaccine, 3rd dose",DTPCV3,294319,262440
Togo,TTETANUS,"Total tetanus",AFR,2016,11,"DTP-containing vaccine, 1st dose",DTPCV1,294319,272992
Togo,PERTUSSIS,Pertussis,AFR,2016,11,"DTP-containing vaccine, 1st dose",DTPCV1,294319,272992
Eswatini,TTETANUS,"Total tetanus",AFR,2016,1,"DTP-containing vaccine, 1st dose",DTPCV1,32478,27280
Eswatini,TTETANUS,"Total tetanus",AFR,2016,1,"DTP-containing vaccine, 3rd dose",DTPCV3,32478,25959
Eswatini,MEASLES,Measles,AFR,2016,1,"Measles-containing vaccine, 1st dose",MCV1,32478,22406
Eswatini,MEASLES,Measles,AFR,2016,1,"Measles-containing vaccine, 2nd dose",MCV2,32185,20562
Chad,YFEVER,"Yellow fever",AFR,2016,1,"Yellow fever vaccine",YFV,523633,381483
Chad,TTETANUS,"Total tetanus",AFR,2016,172,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,598643,563871
Eswatini,TTETANUS,"Total tetanus",AFR,2016,1,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,34145,22656
Chad,MEASLES,Measles,AFR,2016,118,"Measles-containing vaccine, 1st dose",MCV1,523633,443827
Chad,TTETANUS,"Total tetanus",AFR,2016,172,"DTP-containing vaccine, 3rd dose",DTPCV3,523633,479444
Chad,TTETANUS,"Total tetanus",AFR,2016,172,"DTP-containing vaccine, 1st dose",DTPCV1,523633,543367
Uganda,TTETANUS,"Total tetanus",AFR,2016,985,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,1837195,1054479
Uganda,NTETANUS,"Neonatal tetanus",AFR,2016,73,"Protection at birth (PAB) against neonatal tetanus",PAB,1786875,444577
Uganda,MEASLES,Measles,AFR,2016,139,"Measles-containing vaccine, 1st dose",MCV1,1584239,1428510
Uganda,TTETANUS,"Total tetanus",AFR,2016,985,"DTP-containing vaccine, 3rd dose",DTPCV3,1584239,1598124
"United Republic of Tanzania",CRS,"Congenital rubella syndrome",AFR,2016,1,"Rubella-containing vaccine, 1st dose",RCV1,1921328,1727232
"United Republic of Tanzania",RUBELLA,Rubella,AFR,2016,24,"Rubella-containing vaccine, 1st dose",RCV1,1921328,1727232
"United Republic of Tanzania",MEASLES,Measles,AFR,2016,33,"Measles-containing vaccine, 2nd dose",MCV2,1810396,1276558
"United Republic of Tanzania",MEASLES,Measles,AFR,2016,33,"Measles-containing vaccine, 1st dose",MCV1,1921328,1727232
Uganda,TTETANUS,"Total tetanus",AFR,2016,985,"DTP-containing vaccine, 1st dose",DTPCV1,1584239,1717898
"Equatorial Guinea",MEASLES,Measles,AFR,2016,1699,"Measles-containing vaccine, 1st dose",MCV1,38440,11144
Cameroon,YFEVER,"Yellow fever",AFR,2016,61,"Yellow fever vaccine",YFV,853690,668507
Botswana,RUBELLA,Rubella,AFR,2016,25,"Rubella-containing vaccine, 1st dose",RCV1,46290,16798
Botswana,MEASLES,Measles,AFR,2016,1,"Measles-containing vaccine, 2nd dose",MCV2,46290,36042
Botswana,MEASLES,Measles,AFR,2016,1,"Measles-containing vaccine, 1st dose",MCV1,46290,43563
"Democratic Republic of the Congo",TTETANUS,"Total tetanus",AFR,2016,80,"DTP-containing vaccine, 1st dose",DTPCV1,3428946,3396507
"Democratic Republic of the Congo",TTETANUS,"Total tetanus",AFR,2016,80,"DTP-containing vaccine, 3rd dose",DTPCV3,3428946,3174767
"Democratic Republic of the Congo",MEASLES,Measles,AFR,2016,5092,"Measles-containing vaccine, 1st dose",MCV1,3428946,3082143
"Democratic Republic of the Congo",TTETANUS,"Total tetanus",AFR,2016,80,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,3930028,3545451
"Democratic Republic of the Congo",YFEVER,"Yellow fever",AFR,2016,77,"Yellow fever vaccine",YFV,3428946,2711643
Cameroon,TTETANUS,"Total tetanus",AFR,2016,58,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,1123277,667435
"Côte d'Ivoire",YFEVER,"Yellow fever",AFR,2016,3,"Yellow fever vaccine",YFV,895302,720792
"Côte d'Ivoire",TTETANUS,"Total tetanus",AFR,2016,3,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,986696,833268
Cameroon,MEASLES,Measles,AFR,2016,338,"Measles-containing vaccine, 1st dose",MCV1,853690,666262
Cameroon,TTETANUS,"Total tetanus",AFR,2016,58,"DTP-containing vaccine, 3rd dose",DTPCV3,853690,724430
Cameroon,TTETANUS,"Total tetanus",AFR,2016,58,"DTP-containing vaccine, 1st dose",DTPCV1,853690,786208
"Côte d'Ivoire",TTETANUS,"Total tetanus",AFR,2016,3,"DTP-containing vaccine, 1st dose",DTPCV1,895302,886070
"Côte d'Ivoire",TTETANUS,"Total tetanus",AFR,2016,3,"DTP-containing vaccine, 3rd dose",DTPCV3,895302,868553
"Central African Republic",PERTUSSIS,Pertussis,AFR,2016,353,"DTP-containing vaccine, 1st dose",DTPCV1,153587,122068
"Central African Republic",PERTUSSIS,Pertussis,AFR,2016,353,"DTP-containing vaccine, 3rd dose",DTPCV3,153587,83410
"Central African Republic",MEASLES,Measles,AFR,2016,367,"Measles-containing vaccine, 1st dose",MCV1,153587,99787
Congo,MEASLES,Measles,AFR,2016,277,"Measles-containing vaccine, 1st dose",MCV1,206041,137514
"Côte d'Ivoire",MEASLES,Measles,AFR,2016,45,"Measles-containing vaccine, 1st dose",MCV1,895302,789635
"Burkina Faso",YFEVER,"Yellow fever",AFR,2016,1,"Yellow fever vaccine",YFV,747362,424278
"Burkina Faso",TTETANUS,"Total tetanus",AFR,2016,1,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,1045640,973722
"Burkina Faso",RUBELLA,Rubella,AFR,2016,1,"Rubella-containing vaccine, 1st dose",RCV1,747362,747108
"Burkina Faso",MEASLES,Measles,AFR,2016,226,"Measles-containing vaccine, 2nd dose",MCV2,732675,541943
"Burkina Faso",MEASLES,Measles,AFR,2016,226,"Measles-containing vaccine, 1st dose",MCV1,747362,746867
"Burkina Faso",PERTUSSIS,Pertussis,AFR,2016,16,"DTP-containing vaccine, 3rd dose",DTPCV3,747362,769490
"Burkina Faso",TTETANUS,"Total tetanus",AFR,2016,1,"DTP-containing vaccine, 3rd dose",DTPCV3,747362,769490
"Burkina Faso",PERTUSSIS,Pertussis,AFR,2016,16,"DTP-containing vaccine, 1st dose",DTPCV1,747362,795890
"Burkina Faso",TTETANUS,"Total tetanus",AFR,2016,1,"DTP-containing vaccine, 1st dose",DTPCV1,747362,795890
Kenya,MEASLES,Measles,AFR,2016,128,"Measles-containing vaccine, 2nd dose",MCV2,1400864,479220
Kenya,PERTUSSIS,Pertussis,AFR,2016,3,"DTP-containing vaccine, 3rd dose",DTPCV3,1452719,1187290
Kenya,TTETANUS,"Total tetanus",AFR,2016,2776,"DTP-containing vaccine, 3rd dose",DTPCV3,1452719,1187290
Kenya,PERTUSSIS,Pertussis,AFR,2016,3,"DTP-containing vaccine, 1st dose",DTPCV1,1452719,1269542
Kenya,TTETANUS,"Total tetanus",AFR,2016,2776,"DTP-containing vaccine, 1st dose",DTPCV1,1452719,1269542
Kenya,MEASLES,Measles,AFR,2016,128,"Measles-containing vaccine, 1st dose",MCV1,1452719,1130812
Kenya,YFEVER,"Yellow fever",AFR,2016,3,"Yellow fever vaccine",YFV,41397,4268
Kenya,TTETANUS,"Total tetanus",AFR,2016,2776,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,1514737,917108
Malawi,TTETANUS,"Total tetanus",AFR,2016,2,"DTP-containing vaccine, 1st dose",DTPCV1,679152,605272
Malawi,TTETANUS,"Total tetanus",AFR,2016,2,"DTP-containing vaccine, 3rd dose",DTPCV3,679152,570776
Malawi,NTETANUS,"Neonatal tetanus",AFR,2016,2,"Protection at birth (PAB) against neonatal tetanus",PAB,726165,579909
Malawi,TTETANUS,"Total tetanus",AFR,2016,2,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,956973,542733
Niger,PERTUSSIS,Pertussis,AFR,2016,482,"DTP-containing vaccine, 1st dose",DTPCV1,1013382,994499
Niger,TTETANUS,"Total tetanus",AFR,2016,32,"DTP-containing vaccine, 1st dose",DTPCV1,1013382,994499
Niger,PERTUSSIS,Pertussis,AFR,2016,482,"DTP-containing vaccine, 3rd dose",DTPCV3,1013382,936575
Niger,TTETANUS,"Total tetanus",AFR,2016,32,"DTP-containing vaccine, 3rd dose",DTPCV3,1013382,936575
Niger,MEASLES,Measles,AFR,2016,776,"Measles-containing vaccine, 1st dose",MCV1,1013382,913633
Niger,MEASLES,Measles,AFR,2016,776,"Measles-containing vaccine, 2nd dose",MCV2,1013382,375963
Niger,NTETANUS,"Neonatal tetanus",AFR,2016,7,"Protection at birth (PAB) against neonatal tetanus",PAB,994499,247220
Mauritania,TTETANUS,"Total tetanus",AFR,2016,2,"DTP-containing vaccine, 1st dose",DTPCV1,130297,130806
Mauritania,TTETANUS,"Total tetanus",AFR,2016,2,"DTP-containing vaccine, 3rd dose",DTPCV3,130297,112336
Mauritania,MEASLES,Measles,AFR,2016,13,"Measles-containing vaccine, 1st dose",MCV1,130297,108532
Mauritania,TTETANUS,"Total tetanus",AFR,2016,2,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,168851,56310
Niger,TTETANUS,"Total tetanus",AFR,2016,32,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,1102697,1015286
Namibia,TTETANUS,"Total tetanus",AFR,2016,3,"DTP-containing vaccine, 1st dose",DTPCV1,84034,75368
Namibia,TTETANUS,"Total tetanus",AFR,2016,3,"DTP-containing vaccine, 3rd dose",DTPCV3,84034,71715
Namibia,MEASLES,Measles,AFR,2016,40,"Measles-containing vaccine, 1st dose",MCV1,84034,63349
Niger,DIPHTHERIA,Diphtheria,AFR,2017,5,"DTP-containing vaccine, 1st dose",DTPCV1,1053636,1051936
Niger,TTETANUS,"Total tetanus",AFR,2017,36,"DTP-containing vaccine, 1st dose",DTPCV1,1053636,1051936
Niger,PERTUSSIS,Pertussis,AFR,2017,283,"DTP-containing vaccine, 1st dose",DTPCV1,1053636,1051936
Nigeria,PERTUSSIS,Pertussis,AFR,2017,4244,"DTP-containing vaccine, 3rd dose",DTPCV3,7327674,7755566
Nigeria,TTETANUS,"Total tetanus",AFR,2017,187,"DTP-containing vaccine, 3rd dose",DTPCV3,7327674,7755566
Nigeria,MEASLES,Measles,AFR,2017,11190,"Measles-containing vaccine, 1st dose",MCV1,7327674,7630146
Nigeria,TTETANUS,"Total tetanus",AFR,2017,187,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,9902263,5939888
Nigeria,YFEVER,"Yellow fever",AFR,2017,26,"Yellow fever vaccine",YFV,7327674,7571756
Namibia,TTETANUS,"Total tetanus",AFR,2017,3,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,88600,58333
Mauritania,TTETANUS,"Total tetanus",AFR,2017,3,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,170181,53247
Mauritania,MEASLES,Measles,AFR,2017,63,"Measles-containing vaccine, 1st dose",MCV1,133690,114884
Mauritania,TTETANUS,"Total tetanus",AFR,2017,3,"DTP-containing vaccine, 3rd dose",DTPCV3,133690,120384
Mauritania,TTETANUS,"Total tetanus",AFR,2017,3,"DTP-containing vaccine, 1st dose",DTPCV1,133690,134448
Namibia,RUBELLA,Rubella,AFR,2017,29,"Rubella-containing vaccine, 1st dose",RCV1,83869,67280
Niger,TTETANUS,"Total tetanus",AFR,2017,36,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,1146505,870796
Niger,NTETANUS,"Neonatal tetanus",AFR,2017,7,"Protection at birth (PAB) against neonatal tetanus",PAB,1146505,1082494
Niger,MEASLES,Measles,AFR,2017,1171,"Measles-containing vaccine, 2nd dose",MCV2,1053636,546250
Niger,MEASLES,Measles,AFR,2017,1171,"Measles-containing vaccine, 1st dose",MCV1,1053636,967707
Niger,DIPHTHERIA,Diphtheria,AFR,2017,5,"DTP-containing vaccine, 3rd dose",DTPCV3,1053636,983008
Niger,TTETANUS,"Total tetanus",AFR,2017,36,"DTP-containing vaccine, 3rd dose",DTPCV3,1053636,983008
Niger,PERTUSSIS,Pertussis,AFR,2017,283,"DTP-containing vaccine, 3rd dose",DTPCV3,1053636,983008
Nigeria,PERTUSSIS,Pertussis,AFR,2017,4244,"DTP-containing vaccine, 1st dose",DTPCV1,7327674,8345186
Nigeria,TTETANUS,"Total tetanus",AFR,2017,187,"DTP-containing vaccine, 1st dose",DTPCV1,7327674,8345186
Namibia,NTETANUS,"Neonatal tetanus",AFR,2017,1,"Protection at birth (PAB) against neonatal tetanus",PAB,88600,66698
Namibia,MEASLES,Measles,AFR,2017,16,"Measles-containing vaccine, 2nd dose",MCV2,83869,27007
Namibia,MEASLES,Measles,AFR,2017,16,"Measles-containing vaccine, 1st dose",MCV1,83869,67280
Namibia,TTETANUS,"Total tetanus",AFR,2017,3,"DTP-containing vaccine, 3rd dose",DTPCV3,83869,73431
Namibia,TTETANUS,"Total tetanus",AFR,2017,3,"DTP-containing vaccine, 1st dose",DTPCV1,83869,79559
Malawi,TTETANUS,"Total tetanus",AFR,2017,3,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,978327,605914
Malawi,RUBELLA,Rubella,AFR,2017,26,"Rubella-containing vaccine, 1st dose",RCV1,698054,578875
Malawi,NTETANUS,"Neonatal tetanus",AFR,2017,3,"Protection at birth (PAB) against neonatal tetanus",PAB,743524,595453
Malawi,MEASLES,Measles,AFR,2017,4,"Measles-containing vaccine, 2nd dose",MCV2,679152,455869
Malawi,MEASLES,Measles,AFR,2017,4,"Measles-containing vaccine, 1st dose",MCV1,698054,578875
Malawi,TTETANUS,"Total tetanus",AFR,2017,3,"DTP-containing vaccine, 3rd dose",DTPCV3,698054,613494
Malawi,TTETANUS,"Total tetanus",AFR,2017,3,"DTP-containing vaccine, 1st dose",DTPCV1,698054,646694
Madagascar,TTETANUS,"Total tetanus",AFR,2017,61,"Tetanus toxoid-containing vaccine, 2nd and subsequent doses",TT2PLUS,1148873,568447
Madagascar,NTETANUS,"Neonatal tetanus",AFR,2017,17,"Protection at birth (PAB) against neonatal tetanus",PAB,901227,568447
Madagascar,MEASLES,Measles,AFR,2017,11,"Measles-containing vaccine, 1st dose",MCV1,850166,706213
Madagascar,TTETANUS,"Total tetanus",AFR,2017,61,"DTP-containing vaccine, 3rd dose",DTPCV3,850166,767935
Mali,TTETANUS,"Total tetanus",AFR,2017,7,"DTP-containing vaccine, 1st dose",DTPCV1,756614,800938
Mali,TTETANUS,"Total tetanus",AFR,2017,7,"DTP-containing vaccine, 3rd dose",DTPCV3,756614,676044
